DATE,sprtrn
19860430,-0.014148
19860530,0.050229
19860630,0.014110
19860731,-0.058683
19860829,0.071193
19860930,-0.085439
19861031,0.054729
19861128,0.021477
19861231,-0.028288
19870130,0.131767
19870227,0.036924
19870331,0.026390
19870430,-0.011450
19870529,0.006034
19870630,0.047915
19870731,0.048224
19870831,0.034959
19870930,-0.024166
19871030,-0.217630
19871130,-0.085349
19871231,0.072861
19880129,0.040432
19880229,0.041817
19880331,-0.033343
19880429,0.009425
19880531,0.003176
19880630,0.043256
19880729,-0.005411
19880831,-0.038600
19880930,0.039729
19881031,0.025964
19881130,-0.018891
19881230,0.014688
19890131,0.071115
19890228,-0.028944
19890331,0.020806
19890428,0.050090
19890531,0.035138
19890630,-0.007925
19890731,0.088370
19890831,0.015517
19890929,-0.006544
19891031,-0.025175
19891130,0.016541
19891229,0.021417
19900131,-0.068817
19900228,0.008539
19900330,0.024255
19900430,-0.026887
19900531,0.091989
19900629,-0.008886
19900731,-0.005223
19900831,-0.094314
19900928,-0.051184
19901031,-0.006698
19901130,0.059934
19901231,0.024828
19910131,0.041518
19910228,0.067281
19910328,0.022203
19910430,0.000346
19910531,0.038577
19910628,-0.047893
19910731,0.044859
19910830,0.019649
19910930,-0.019144
19911031,0.011860
19911129,-0.043928
19911231,0.111588
19920131,-0.019900
19920228,0.009565
19920331,-0.021832
19920430,0.027893
19920529,0.000964
19920630,-0.017359
19920731,0.039374
19920831,-0.023998
19920930,0.009106
19921030,0.002106
19921130,0.030262
19921231,0.010108
19930129,0.007046
19930226,0.010484
19930331,0.018697
19930430,-0.025417
19930528,0.022717
19930630,0.000755
19930730,-0.005327
19930831,0.034432
19930930,-0.009988
19931029,0.019393
19931130,-0.012911
19931231,0.010091
19940131,0.032501
19940228,-0.030045
19940331,-0.045746
19940429,0.011531
19940531,0.012419
19940630,-0.026812
19940729,0.031467
19940831,0.037643
19940930,-0.026898
19941031,0.020834
19941130,-0.039505
19941230,0.012299
19950131,0.024278
19950228,0.036074
19950331,0.027329
19950428,0.027960
19950531,0.036312
19950630,0.021279
19950731,0.031776
19950831,-0.000320
19950929,0.040098
19951031,-0.004979
19951130,0.041049
19951229,0.017444
19960131,0.032617
19960229,0.006934
19960329,0.007917
19960430,0.013431
19960531,0.022853
19960628,0.002257
19960731,-0.045748
19960830,0.018814
19960930,0.054173
19961031,0.026131
19961129,0.073376
19961231,-0.021505
19970131,0.061317
19970228,0.005928
19970331,-0.042614
19970430,0.058406
19970530,0.058577
19970630,0.043453
19970731,0.078123
19970829,-0.057446
19970930,0.053154
19971031,-0.034478
19971128,0.044587
19971231,0.015732
19980130,0.010150
19980227,0.070449
19980331,0.049946
19980430,0.009076
19980529,-0.018826
19980630,0.039438
19980731,-0.011615
19980831,-0.145797
19980930,0.062396
19981030,0.080294
19981130,0.059126
19981231,0.056375
19990129,0.041009
19990226,-0.032283
19990331,0.038794
19990430,0.037944
19990528,-0.024970
19990630,0.054438
19990730,-0.032046
19990831,-0.006254
19990930,-0.028552
19991029,0.062539
19991130,0.019062
19991231,0.057844
